Timestamp,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_20,Value_21,Value_22,Value_23,Value_24,Value_25,Value_26,Value_27,Value_28,Value_29,Value_30,Value_31,Value_32,Value_33,Value_34,Value_35,Value_36,Value_37,Value_38,Value_39,Value_40,Value_41,Value_42,Value_43,Value_44,Value_45,Value_46,Value_47,Value_48,Value_49,Value_50
4/6/20 0:00,28.99666667,20.45415833,21.1,14.83333333,14.93939394,17.26666667,11.26804124,10.62626263,10.45454545,9.64516129,9.933333333,17.35789474,15.63333333,15.05833333,15.44166667,15.43518519,31.1559633,0,21.78333333,40.78833333,33.33333333,20.39166667,13.48333333,23.73333333,26.5,27.04166667,21.63,13.65833333,13.60833333,15.20833333,15.475,29.41666667,29.425,29.66666667,30.73333333,40.775,8.033333333,40.73333333,40.50833333,30.98333333,32.69166667,34.225,34.81666667,39.45833333,39.49166667,39.44791667,39.17171717,41.30833333,40.475,34.20833333
4/6/20 0:10,29.63306667,22.487825,21.01666667,15.2,14.96190476,16.71666667,10.54878049,10.32653061,9.96039604,10.33695652,10.48958333,18.3125,15.36666667,15.63333333,15.68333333,16.19266055,32.46666667,,23.33333333,40.64973333,32.93333333,20.19166667,13.01666667,23.88333333,26.275,26.99166667,22.24333333,13.8,13.7,15.73333333,15.35833333,30.24166667,29.96666667,30.08333333,30.95,40.8,8.233333333,41.525,41.125,31.89166667,33.35,34.83333333,37.35833333,40.28333333,38.83333333,38.89247312,40.0990099,41.99166667,41.10833333,36.19166667
4/6/20 0:20,29.472625,22.63815833,21.15833333,14.74166667,14.58823529,16.51666667,11.53535354,9.747572816,10.21276596,10.92307692,10.45918367,17.95,16.33333333,15.625,15.175,15.46846847,32.64864865,,23.31666667,40.397625,34.1,20.3,13.39166667,23.65,26.44166667,26.66666667,22.105,13.875,13.84166667,15.65833333,15.70833333,29.725,30.20833333,30.36666667,30.625,41.50833333,8.175,41.24166667,40.70833333,31.81666667,33.075,35.75,35.29166667,40.33333333,38.35,40.66326531,41.26530612,41.79166667,44.19166667,35.98333333
4/6/20 0:30,29.16308333,21.81349167,21.18333333,15.3,14.89473684,16.70833333,12.32038835,9.080808081,10.01030928,10.48484848,10.76146789,17.33663366,15.99166667,15.675,15.50833333,15.99038462,34.17142857,,23.76666667,41.84641667,33.56666667,20.225,13.29166667,23.8,26.675,26.84166667,22.20666667,13.80833333,13.99166667,15.75,15.6,29.85833333,30.35833333,29.81666667,30.275,40.74166667,8.166666667,41.46666667,40.725,31.50833333,32.81666667,34.625,32.95,40.05833333,38.23333333,40.24509804,41.36633663,41.46666667,42.375,44.18119726
4/6/20 0:40,27.36919167,22.22215833,21.51666667,15.71666667,15.24752475,16.65,11.52688172,10.5625,10.89320388,11.15625,10.67010309,17.89814815,15.575,15.625,15.73333333,15.38888889,33.6,,23.73333333,39.46919167,33.25,20.25,13.01666667,23.54166667,26.625,27.06666667,21.97833333,13.975,13.95,15.875,15.98333333,29.825,30.70833333,30.15833333,30.91666667,40.80833333,8.141666667,41.46666667,40.50833333,31.79166667,32.35833333,33.86666667,33.98333333,40.025,38.86666667,40.03370787,41.73626374,41,41.125,35.58333333
4/6/20 0:50,29.23677458,21.43915833,21.44166667,14.85,14.75925926,16.375,11.81052632,10.73333333,10.30693069,10.88172043,10.66326531,17.63461538,15.79166667,15.15833333,15.39166667,15.85046729,31.37735849,,19.78333333,40.13663333,34.41666667,19.65,13.475,23.53333333,26.925,26.70833333,21.735,14.03333333,14.01666667,15.96666667,15.43333333,29.78333333,30.325,29.96666667,30.65,40.8,8.158333333,40.9,40.53333333,32.13333333,34.475,33.08333333,36.04166667,39.84166667,40.225,39.68269231,41.57943925,41.48333333,41.41666667,36.75
4/6/20 1:00,29.42490975,22.23115833,21.71666667,14.75833333,15.32989691,16.65833333,11.31372549,10.19,10.90816327,10.66666667,11.0326087,18.08737864,15.89166667,15.41666667,15.26666667,15.875,32.06481481,,22.88333333,41.30315833,34.2,20.41666667,13.125,23.63333333,26.475,26.575,22.285,13.93333333,13.81666667,16.11666667,15.56666667,30.04166667,30.1,30.09166667,30.04166667,41.175,8.083333333,41.01666667,41.28333333,31.40833333,32.39166667,34.01666667,35.11666667,40.08333333,40.475,40.69,40.86458333,40.76666667,40.75,35.4
4/6/20 1:10,38.88518514,22.064825,21.63333333,14.88333333,15.61616162,16.34166667,11.7628866,10.14705882,10.47959184,10.19587629,10.50505051,17.09,15.65833333,15.11666667,14.99166667,15.03809524,31.45945946,,20.71666667,41.09585833,34.23333333,20.85,12.94166667,23.59166667,31.41271524,27.24166667,22,13.94166667,13.975,15.84166667,15.65,29.36666667,30.31666667,30.09166667,30.7,41.04166667,8.175,41.34166667,40.90833333,30.625,33.325,33.20833333,36.475,40.45833333,40.24166667,40.63829787,40.73195876,41.99166667,41.01666667,35.825
4/6/20 1:20,30.20794209,22.01515833,20.85833333,14.775,14.7244898,16.55,12.06060606,9.413461538,10.85148515,10.56701031,10.7254902,17,16.125,15.49166667,15.88333333,15.6635514,32.47169811,,22.56666667,40.79975,33.55,20.75833333,13.45833333,23.79166667,26.25,26.95,23.98833333,13.85,13.85,15.85,15.78333333,29.675,29.975,29.73333333,30.78333333,41.25833333,8.25,41.50833333,41.51666667,31.63333333,34.61666667,33.56666667,37.5,40.20833333,39.7,40.47311828,42.10576923,41.14166667,40.74166667,36.10833333
4/6/20 1:30,30.4188524,21.76549167,29.37541739,15.76666667,15.34693878,16.84166667,11.97,11.07,10.57,10.81052632,10.13084112,17.06930693,15.95833333,16.10833333,15.81666667,15.93333333,33.19811321,,21.8,42.93354167,33.51666667,20.50833333,13.16666667,33.39929298,26.41666667,26.44166667,25.82833333,13.70833333,13.675,16.25833333,16.15,30.01666667,30.44166667,29.84166667,30.69166667,40.6,8.183333333,40.91666667,40.575,30.74166667,31.84166667,33.91666667,35.98333333,39.63333333,39.81666667,40.17171717,40.81188119,41.625,41.11666667,34.89166667
