timestamp,Average
2020-04-06T00:00:00,14.65553981
2020-04-06T00:10:00,14.52305278
2020-04-06T00:20:00,14.59789444
2020-04-06T00:30:00,14.66836944
2020-04-06T00:40:00,15.30119537
2020-04-06T00:50:00,14.65776389
2020-04-06T01:00:00,14.4422963
2020-04-06T01:10:00,14.64818889
2020-04-06T01:20:00,14.70157685
2020-04-06T01:30:00,14.60551574
2020-04-06T01:40:00,14.59301944
2020-04-06T01:50:00,14.54381852
2020-04-06T02:00:00,14.53157407
2020-04-06T02:10:00,14.55143981
2020-04-06T02:20:00,14.64643426
2020-04-06T02:30:00,14.62453333
2020-04-06T02:40:00,14.62521759
2020-04-06T02:50:00,14.71926852
2020-04-06T03:00:00,14.58890556
2020-04-06T03:10:00,14.59440833
2020-04-06T03:20:00,14.46118981
2020-04-06T03:30:00,14.64693148
2020-04-06T03:40:00,14.66248981
2020-04-06T03:50:00,14.54660556
2020-04-06T04:00:00,14.45108704
2020-04-06T04:10:00,14.58894352
2020-04-06T04:20:00,14.64414537
2020-04-06T04:30:00,14.57626019
2020-04-06T04:40:00,14.59668426
2020-04-06T04:50:00,14.60976852
2020-04-06T05:00:00,14.58521111
2020-04-06T05:10:00,14.5693713
2020-04-06T05:20:00,14.62166759
2020-04-06T05:30:00,14.60768981
2020-04-06T05:40:00,14.64541852
2020-04-06T05:50:00,14.60045
2020-04-06T06:00:00,14.67185093
2020-04-06T06:10:00,14.66208241
2020-04-06T06:20:00,14.503875
2020-04-06T06:30:00,14.60259444
2020-04-06T06:40:00,14.56000926
2020-04-06T06:50:00,14.50740833
2020-04-06T07:00:00,14.58286852
2020-04-06T07:10:00,14.67492593
2020-04-06T07:20:00,14.61223611
2020-04-06T07:30:00,14.64945741
2020-04-06T07:40:00,14.63488981
2020-04-06T07:50:00,14.70895093
2020-04-06T08:00:00,14.53510833
2020-04-06T08:10:00,14.7383463
2020-04-06T08:20:00,14.54314815
2020-04-06T08:30:00,14.60465093
2020-04-06T08:40:00,14.65329352
2020-04-06T08:50:00,14.63833796
2020-04-06T09:00:00,14.52370833
2020-04-06T09:10:00,14.58304352
2020-04-06T09:20:00,14.50496667
2020-04-06T09:30:00,14.6636037
2020-04-06T09:40:00,14.55977593
2020-04-06T09:50:00,14.63501111
2020-04-06T10:00:00,14.67768981
2020-04-06T10:10:00,14.5206463
2020-04-06T10:20:00,14.67315
